0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-103.84,124.86,-9.1651,1.0215
-67.995,76.889,-9.1628,1.0337
-90.558,66.487,-9.2728,1.0342
22.781,121.64,-8.9997,1.0236
1.3084,109.07,-8.9948,1.0363
-2.3435,88.569,-8.9529,1.0502
43.06,77.363,-8.6174,1.0239
50.168,65.658,-8.3826,1.0195
29.716,60.512,-8.2357,1.0268
5.1676,59.674,-8.2679,1.0383
-4.8025,52.281,-8.256,1.052
-13.904,46.196,-8.2881,1.0639
-22.426,41.091,-8.3669,1.0716
-21.834,36.678,-8.3219,1.0864
-24.493,32.949,-8.3449,1.0995
-20.075,30.481,-8.2227,1.1118
-21.368,27.579,-8.2215,1.1267
-21.766,25.105,-8.2075,1.1422
-19.412,23.234,-8.1091,1.157
-20.083,21.318,-8.1006,1.1731
-23.445,19.834,-8.2095,1.1797
-25.54,18.356,-8.3062,1.1876
-23.495,17.332,-8.2396,1.2048
-21.789,16.301,-8.1715,1.2224
-22.118,15.19,-8.1995,1.2378
-20.158,14.391,-8.1008,1.2554
-20.892,13.488,-8.1526,1.2697
-19.966,12.705,-8.1055,1.2889
-19.518,11.958,-8.0844,1.3081
-20.15,11.284,-8.148,1.3224
-19.408,10.679,-8.1102,1.3427
-19.168,10.095,-8.1106,1.3622
-19.622,9.5698,-8.1809,1.3768
-20.354,9.102,-8.2973,1.3856
-20.477,8.639,-8.3689,1.3997
-20.967,8.2212,-8.4967,1.4062
-21.062,7.8229,-8.5954,1.4163
-18.74,7.8674,-8.3749,1.433
-18.07,7.5248,-8.341,1.4555
-17.144,7.2277,-8.2557,1.4796
-17.053,6.9111,-8.2877,1.4991
-16.329,6.6332,-8.2126,1.5243
-15.456,6.3839,-8.092,1.5499
-16.056,6.1949,-8.2378,1.5568
-16.225,5.9591,-8.3212,1.572
-16.497,5.7437,-8.4411,1.5817
-16.251,5.5199,-8.4586,1.6034
-15.723,5.3212,-8.4044,1.6302
-15.326,5.125,-8.3692,1.6567
-14.047,5.0596,-8.08,1.6779
-13.611,4.8779,-7.9809,1.7081
-12.884,4.7248,-7.7748,1.7371
-12.606,4.5604,-7.6802,1.769
-12.366,4.405,-7.5857,1.8018
-11.917,4.2581,-7.4039,1.8346
-11.606,4.1167,-7.2483,1.869
-12.027,4.0622,-7.3654,1.8886
-12.451,4.0023,-7.5113,1.9033
-12.509,3.8877,-7.5261,1.9337
