lon lat total
0.0000 90.0000 -6.0053
0.0000 89.0000 -5.7512
0.0000 88.0000 -1.5507
0.0000 87.0000 3.5407
0.0000 86.0000 6.2076
0.0000 85.0000 5.2994
0.0000 84.0000 2.2474
0.0000 83.0000 -0.5255
0.0000 82.0000 -1.5558
0.0000 81.0000 -1.0089
0.0000 80.0000 0.1500
0.0000 79.0000 1.3347
0.0000 78.0000 2.6500
0.0000 77.0000 4.2383
0.0000 76.0000 5.6177
0.0000 75.0000 5.8953
0.0000 74.0000 4.6980
0.0000 73.0000 2.7877
0.0000 72.0000 1.5704
0.0000 71.0000 1.8319
0.0000 70.0000 2.9010
0.0000 69.0000 3.1329
0.0000 68.0000 1.3778
0.0000 67.0000 -1.8771
0.0000 66.0000 -4.7578
0.0000 65.0000 -5.4661
0.0000 64.0000 -3.6803
0.0000 63.0000 -0.7074
0.0000 62.0000 1.6558
0.0000 61.0000 2.4694
0.0000 60.0000 2.0597
0.0000 59.0000 1.3167
0.0000 58.0000 0.7312
0.0000 57.0000 0.1332
0.0000 56.0000 -0.7428
0.0000 55.0000 -1.6186
0.0000 54.0000 -1.7531
0.0000 53.0000 -0.7172
0.0000 52.0000 0.9574
0.0000 51.0000 2.0295
0.0000 50.0000 1.5855
0.0000 49.0000 -0.0820
0.0000 48.0000 -1.6320
0.0000 47.0000 -1.8008
0.0000 46.0000 -0.5016
0.0000 45.0000 1.1087
0.0000 44.0000 1.6615
0.0000 43.0000 0.7714
0.0000 42.0000 -0.6813
0.0000 41.0000 -1.3989
0.0000 40.0000 -0.8330
0.0000 39.0000 0.3917
0.0000 38.0000 1.1303
0.0000 37.0000 0.7835
0.0000 36.0000 -0.2176
0.0000 35.0000 -0.9004
0.0000 34.0000 -0.6858
0.0000 33.0000 0.1250
0.0000 32.0000 0.7187
0.0000 31.0000 0.5744
0.0000 30.0000 -0.0850
0.0000 29.0000 -0.5810
0.0000 28.0000 -0.4665
0.0000 27.0000 0.0769
0.0000 26.0000 0.4789
0.0000 25.0000 0.3691
0.0000 24.0000 -0.0870
0.0000 23.0000 -0.4041
0.0000 22.0000 -0.2845
0.0000 21.0000 0.1068
0.0000 20.0000 0.3497
0.0000 19.0000 0.2123
0.0000 18.0000 -0.1312
0.0000 17.0000 -0.3101
0.0000 16.0000 -0.1511
0.0000 15.0000 0.1570
0.0000 14.0000 0.2814
0.0000 13.0000 0.0995
0.0000 12.0000 -0.1827
0.0000 11.0000 -0.2607
0.0000 10.0000 -0.0559
0.0000 9.0000 0.2073
0.0000 8.0000 0.2457
0.0000 7.0000 0.0188
0.0000 6.0000 -0.2304
0.0000 5.0000 -0.2349
0.0000 4.0000 0.0128
0.0000 3.0000 0.2519
0.0000 2.0000 0.2273
0.0000 1.0000 -0.0401
0.0000 0.0000 -0.2719
0.0000 -1.0000 -0.2220
0.0000 -2.0000 0.0638
0.0000 -3.0000 0.2905
0.0000 -4.0000 0.2186
0.0000 -5.0000 -0.0844
0.0000 -6.0000 -0.3079
0.0000 -7.0000 -0.2166
0.0000 -8.0000 0.1027
0.0000 -9.0000 0.3243
0.0000 -10.0000 0.2159
0.0000 -11.0000 -0.1189
0.0000 -12.0000 -0.3399
0.0000 -13.0000 -0.2162
0.0000 -14.0000 0.1333
0.0000 -15.0000 0.3549
0.0000 -16.0000 0.2176
0.0000 -17.0000 -0.1463
0.0000 -18.0000 -0.3694
0.0000 -19.0000 -0.2200
0.0000 -20.0000 0.1580
0.0000 -21.0000 0.3838
0.0000 -22.0000 0.2235
0.0000 -23.0000 -0.1684
0.0000 -24.0000 -0.3980
0.0000 -25.0000 -0.2280
0.0000 -26.0000 0.1777
0.0000 -27.0000 0.4123
0.0000 -28.0000 0.2339
0.0000 -29.0000 -0.1858
0.0000 -30.0000 -0.4267
0.0000 -31.0000 -0.2411
0.0000 -32.0000 0.1927
0.0000 -33.0000 0.4415
0.0000 -34.0000 0.2499
0.0000 -35.0000 -0.1983
0.0000 -36.0000 -0.4566
0.0000 -37.0000 -0.2605
0.0000 -38.0000 0.2024
0.0000 -39.0000 0.4721
0.0000 -40.0000 0.2733
0.0000 -41.0000 -0.2047
0.0000 -42.0000 -0.4882
0.0000 -43.0000 -0.2886
0.0000 -44.0000 0.2048
0.0000 -45.0000 0.5046
0.0000 -46.0000 0.3067
0.0000 -47.0000 -0.2023
0.0000 -48.0000 -0.5213
0.0000 -49.0000 -0.3281
0.0000 -50.0000 0.1964
0.0000 -51.0000 0.5380
0.0000 -52.0000 0.3533
0.0000 -53.0000 -0.1863
0.0000 -54.0000 -0.5543
0.0000 -55.0000 -0.3828
0.0000 -56.0000 0.1708
0.0000 -57.0000 0.5694
0.0000 -58.0000 0.4171
0.0000 -59.0000 -0.1486
0.0000 -60.0000 -0.5822
0.0000 -61.0000 -0.4566
0.0000 -62.0000 0.1177
0.0000 -63.0000 0.5909
0.0000 -64.0000 0.5014
0.0000 -65.0000 -0.0759
0.0000 -66.0000 -0.5931
0.0000 -67.0000 -0.5511
0.0000 -68.0000 0.0205
0.0000 -69.0000 0.5849
0.0000 -70.0000 0.6045
0.0000 -71.0000 0.0515
0.0000 -72.0000 -0.5610
0.0000 -73.0000 -0.6587
0.0000 -74.0000 -0.1434
0.0000 -75.0000 0.5136
0.0000 -76.0000 0.7078
0.0000 -77.0000 0.2577
0.0000 -78.0000 -0.4319
0.0000 -79.0000 -0.7411
0.0000 -80.0000 -0.3944
0.0000 -81.0000 0.3009
0.0000 -82.0000 0.7382
0.0000 -83.0000 0.5463
0.0000 -84.0000 -0.1021
0.0000 -85.0000 -0.6608
0.0000 -86.0000 -0.6829
0.0000 -87.0000 -0.1755
0.0000 -88.0000 0.4451
0.0000 -89.0000 0.7159
0.0000 -90.0000 0.4804
1.0000 90.0000 -6.0053
1.0000 89.0000 -5.7708
1.0000 88.0000 -1.7095
1.0000 87.0000 3.2599
1.0000 86.0000 5.9989
1.0000 85.0000 5.3833
1.0000 84.0000 2.6540
1.0000 83.0000 -0.0347
1.0000 82.0000 -1.3409
1.0000 81.0000 -1.2978
1.0000 80.0000 -0.5939
1.0000 79.0000 0.3791
1.0000 78.0000 1.7020
1.0000 77.0000 3.3455
1.0000 76.0000 4.7024
1.0000 75.0000 4.9219
1.0000 74.0000 3.7696
1.0000 73.0000 2.0560
1.0000 72.0000 1.0425
1.0000 71.0000 1.2795
1.0000 70.0000 2.0010
1.0000 69.0000 1.7525
1.0000 68.0000 -0.2348
1.0000 67.0000 -3.1768
1.0000 66.0000 -5.2226
1.0000 65.0000 -4.9202
1.0000 64.0000 -2.3919
1.0000 63.0000 0.7848
1.0000 62.0000 2.8312
1.0000 61.0000 3.0289
1.0000 60.0000 1.9595
1.0000 59.0000 0.6979
1.0000 58.0000 -0.1498
1.0000 57.0000 -0.6803
1.0000 56.0000 -1.1590
1.0000 55.0000 -1.4503
1.0000 54.0000 -1.0967
1.0000 53.0000 0.0452
1.0000 52.0000 1.3643
1.0000 51.0000 1.8436
1.0000 50.0000 0.9698
1.0000 49.0000 -0.6740
1.0000 48.0000 -1.7887
1.0000 47.0000 -1.4544
1.0000 46.0000 0.0396
1.0000 45.0000 1.4194
1.0000 44.0000 1.5353
1.0000 43.0000 0.3608
1.0000 42.0000 -1.0203
1.0000 41.0000 -1.4101
1.0000 40.0000 -0.5533
1.0000 39.0000 0.6971
1.0000 38.0000 1.2117
1.0000 37.0000 0.6081
1.0000 36.0000 -0.4677
1.0000 35.0000 -1.0083
1.0000 34.0000 -0.5847
1.0000 33.0000 0.3180
1.0000 32.0000 0.8281
1.0000 31.0000 0.5227
1.0000 30.0000 -0.2273
1.0000 29.0000 -0.6790
1.0000 28.0000 -0.4458
1.0000 27.0000 0.1773
1.0000 26.0000 0.5600
1.0000 25.0000 0.3667
1.0000 24.0000 -0.1542
1.0000 23.0000 -0.4667
1.0000 22.0000 -0.2917
1.0000 21.0000 0.1483
1.0000 20.0000 0.3943
1.0000 19.0000 0.2235
1.0000 18.0000 -0.1530
1.0000 17.0000 -0.3383
1.0000 16.0000 -0.1629
1.0000 15.0000 0.1639
1.0000 14.0000 0.2951
1.0000 13.0000 0.1096
1.0000 12.0000 -0.1784
1.0000 11.0000 -0.2616
1.0000 10.0000 -0.0631
1.0000 9.0000 0.1946
1.0000 8.0000 0.2356
1.0000 7.0000 0.0225
1.0000 6.0000 -0.2116
1.0000 5.0000 -0.2155
1.0000 4.0000 0.0131
1.0000 3.0000 0.2286
1.0000 2.0000 0.1998
1.0000 1.0000 -0.0444
1.0000 0.0000 -0.2453
1.0000 -1.0000 -0.1876
1.0000 -2.0000 0.0721
1.0000 -3.0000 0.2617
1.0000 -4.0000 0.1782
1.0000 -5.0000 -0.0967
1.0000 -6.0000 -0.2775
1.0000 -7.0000 -0.1712
1.0000 -8.0000 0.1187
1.0000 -9.0000 0.2930
1.0000 -10.0000 0.1660
1.0000 -11.0000 -0.1385
1.0000 -12.0000 -0.3082
1.0000 -13.0000 -0.1625
1.0000 -14.0000 0.1565
1.0000 -15.0000 0.3231
1.0000 -16.0000 0.1605
1.0000 -17.0000 -0.1728
1.0000 -18.0000 -0.3380
1.0000 -19.0000 -0.1599
1.0000 -20.0000 0.1878
1.0000 -21.0000 0.3528
1.0000 -22.0000 0.1608
1.0000 -23.0000 -0.2015
1.0000 -24.0000 -0.3679
1.0000 -25.0000 -0.1630
1.0000 -26.0000 0.2140
1.0000 -27.0000 0.3833
1.0000 -28.0000 0.1668
1.0000 -29.0000 -0.2254
1.0000 -30.0000 -0.3992
1.0000 -31.0000 -0.1723
1.0000 -32.0000 0.2356
1.0000 -33.0000 0.4156
1.0000 -34.0000 0.1796
1.0000 -35.0000 -0.2445
1.0000 -36.0000 -0.4328
1.0000 -37.0000 -0.1890
1.0000 -38.0000 0.2520
1.0000 -39.0000 0.4508
1.0000 -40.0000 0.2009
1.0000 -41.0000 -0.2578
1.0000 -42.0000 -0.4696
1.0000 -43.0000 -0.2156
1.0000 -44.0000 0.2615
1.0000 -45.0000 0.4894
1.0000 -46.0000 0.2336
1.0000 -47.0000 -0.2626
1.0000 -48.0000 -0.5100
1.0000 -49.0000 -0.2554
1.0000 -50.0000 0.2604
1.0000 -51.0000 0.5312
1.0000 -52.0000 0.2817
1.0000 -53.0000 -0.2539
1.0000 -54.0000 -0.5526
1.0000 -55.0000 -0.3132
1.0000 -56.0000 0.2419
1.0000 -57.0000 0.5737
1.0000 -58.0000 0.3504
1.0000 -59.0000 -0.2227
1.0000 -60.0000 -0.5931
1.0000 -61.0000 -0.3941
1.0000 -62.0000 0.1942
1.0000 -63.0000 0.6092
1.0000 -64.0000 0.4446
1.0000 -65.0000 -0.1538
1.0000 -66.0000 -0.6192
1.0000 -67.0000 -0.5020
1.0000 -68.0000 0.0982
1.0000 -69.0000 0.6191
1.0000 -70.0000 0.5649
1.0000 -71.0000 -0.0237
1.0000 -72.0000 -0.6027
1.0000 -73.0000 -0.6307
1.0000 -74.0000 -0.0737
1.0000 -75.0000 0.5614
1.0000 -76.0000 0.6932
1.0000 -77.0000 0.1973
1.0000 -78.0000 -0.4829
1.0000 -79.0000 -0.7405
1.0000 -80.0000 -0.3478
1.0000 -81.0000 0.3501
1.0000 -82.0000 0.7502
1.0000 -83.0000 0.5176
1.0000 -84.0000 -0.1418
1.0000 -85.0000 -0.6798
1.0000 -86.0000 -0.6736
1.0000 -87.0000 -0.1544
1.0000 -88.0000 0.4583
1.0000 -89.0000 0.7172
1.0000 -90.0000 0.4804
2.0000 90.0000 -6.0053
2.0000 89.0000 -5.7900
2.0000 88.0000 -1.8679
2.0000 87.0000 2.9757
2.0000 86.0000 5.7732
2.0000 85.0000 5.4271
2.0000 84.0000 3.0025
2.0000 83.0000 0.4051
2.0000 82.0000 -1.1381
2.0000 81.0000 -1.5476
2.0000 80.0000 -1.2738
2.0000 79.0000 -0.5439
2.0000 78.0000 0.7039
2.0000 77.0000 2.3077
2.0000 76.0000 3.5800
2.0000 75.0000 3.7286
2.0000 74.0000 2.6353
2.0000 73.0000 1.1245
2.0000 72.0000 0.3041
2.0000 71.0000 0.5246
2.0000 70.0000 0.9807
2.0000 69.0000 0.4349
2.0000 68.0000 -1.5374
2.0000 67.0000 -3.9488
