lon lat total
0.0000 90.0000 -0.3826
0.0000 89.0000 -0.7008
0.0000 88.0000 -0.9527
0.0000 87.0000 -1.3277
0.0000 86.0000 -1.7865
0.0000 85.0000 -2.0668
0.0000 84.0000 -1.9976
0.0000 83.0000 -1.8002
0.0000 82.0000 -2.0130
0.0000 81.0000 -3.0132
0.0000 80.0000 -4.5323
0.0000 79.0000 -5.6545
0.0000 78.0000 -5.4193
0.0000 77.0000 -3.6051
0.0000 76.0000 -1.0434
0.0000 75.0000 0.8617
0.0000 74.0000 1.1015
0.0000 73.0000 -0.2145
0.0000 72.0000 -1.9460
0.0000 71.0000 -2.7602
0.0000 70.0000 -2.0773
0.0000 69.0000 -0.4159
0.0000 68.0000 1.0790
0.0000 67.0000 1.5098
0.0000 66.0000 0.8222
0.0000 65.0000 -0.2821
0.0000 64.0000 -0.9598
0.0000 63.0000 -0.8403
0.0000 62.0000 -0.1912
0.0000 61.0000 0.4078
0.0000 60.0000 0.5499
0.0000 59.0000 0.2561
0.0000 58.0000 -0.1396
0.0000 57.0000 -0.3096
0.0000 56.0000 -0.1739
0.0000 55.0000 0.0969
0.0000 54.0000 0.2627
0.0000 53.0000 0.2048
0.0000 52.0000 -0.0110
0.0000 51.0000 -0.2130
0.0000 50.0000 -0.2571
0.0000 49.0000 -0.1194
0.0000 48.0000 0.0992
0.0000 47.0000 0.2461
0.0000 46.0000 0.2183
0.0000 45.0000 0.0331
0.0000 44.0000 -0.1779
0.0000 43.0000 -0.2576
0.0000 42.0000 -0.1406
0.0000 41.0000 0.0880
0.0000 40.0000 0.2488
0.0000 39.0000 0.2091
0.0000 38.0000 -0.0031
0.0000 37.0000 -0.2131
0.0000 36.0000 -0.2427
0.0000 35.0000 -0.0649
0.0000 34.0000 0.1673
0.0000 33.0000 0.2512
0.0000 32.0000 0.1138
0.0000 31.0000 -0.1216
0.0000 30.0000 -0.2443
0.0000 29.0000 -0.1460
0.0000 28.0000 0.0809
0.0000 27.0000 0.2288
0.0000 26.0000 0.1651
0.0000 25.0000 -0.0470
0.0000 24.0000 -0.2095
0.0000 23.0000 -0.1745
0.0000 22.0000 0.0199
0.0000 21.0000 0.1892
0.0000 20.0000 0.1773
0.0000 19.0000 0.0012
0.0000 18.0000 -0.1696
0.0000 17.0000 -0.1756
0.0000 16.0000 -0.0170
0.0000 15.0000 0.1514
0.0000 14.0000 0.1710
0.0000 13.0000 0.0288
0.0000 12.0000 -0.1350
0.0000 11.0000 -0.1646
0.0000 10.0000 -0.0372
0.0000 9.0000 0.1205
0.0000 8.0000 0.1573
0.0000 7.0000 0.0430
0.0000 6.0000 -0.1077
0.0000 5.0000 -0.1495
0.0000 4.0000 -0.0467
0.0000 3.0000 0.0966
0.0000 2.0000 0.1416
0.0000 1.0000 0.0489
0.0000 0.0000 -0.0869
