lon lat total
0.0000 90.0000 0.1607
0.0000 89.0000 -1.5779
0.0000 88.0000 -2.4118
0.0000 87.0000 -1.7579
0.0000 86.0000 -0.0354
0.0000 85.0000 1.7894
0.0000 84.0000 2.9804
0.0000 83.0000 3.4460
0.0000 82.0000 3.5188
0.0000 81.0000 3.4343
0.0000 80.0000 3.0721
0.0000 79.0000 2.1931
0.0000 78.0000 0.8759
0.0000 77.0000 -0.3487
0.0000 76.0000 -0.8542
0.0000 75.0000 -0.4532
0.0000 74.0000 0.4067
0.0000 73.0000 0.9969
0.0000 72.0000 0.9104
0.0000 71.0000 0.3748
0.0000 70.0000 -0.0000
0.0000 69.0000 0.2017
0.0000 68.0000 0.8216
0.0000 67.0000 1.2734
0.0000 66.0000 1.0613
0.0000 65.0000 0.2031
0.0000 64.0000 -0.7965
0.0000 63.0000 -1.3580
0.0000 62.0000 -1.2450
0.0000 61.0000 -0.6565
0.0000 60.0000 0.0148
0.0000 59.0000 0.4836
0.0000 58.0000 0.6794
0.0000 57.0000 0.6449
0.0000 56.0000 0.4128
0.0000 55.0000 0.0155
0.0000 54.0000 -0.4185
0.0000 53.0000 -0.6527
0.0000 52.0000 -0.4979
0.0000 51.0000 -0.0106
0.0000 50.0000 0.4840
0.0000 49.0000 0.6191
0.0000 48.0000 0.2911
0.0000 47.0000 -0.2360
0.0000 46.0000 -0.5397
0.0000 45.0000 -0.3926
0.0000 44.0000 0.0516
0.0000 43.0000 0.4040
0.0000 42.0000 0.3835
0.0000 41.0000 0.0486
0.0000 40.0000 -0.2814
0.0000 39.0000 -0.3266
0.0000 38.0000 -0.0860
0.0000 37.0000 0.1923
0.0000 36.0000 0.2589
0.0000 35.0000 0.0861
0.0000 34.0000 -0.1353
0.0000 33.0000 -0.1972
0.0000 32.0000 -0.0676
0.0000 31.0000 0.1029
0.0000 30.0000 0.1469
0.0000 29.0000 0.0419
0.0000 28.0000 -0.0872
0.0000 27.0000 -0.1086
0.0000 26.0000 -0.0153
0.0000 25.0000 0.0820
0.0000 24.0000 0.0804
0.0000 23.0000 -0.0094
0.0000 22.0000 -0.0831
0.0000 21.0000 -0.0603
0.0000 20.0000 0.0308
0.0000 19.0000 0.0876
0.0000 18.0000 0.0463
0.0000 17.0000 -0.0489
0.0000 16.0000 -0.0938
0.0000 15.0000 -0.0368
0.0000 14.0000 0.0639
0.0000 13.0000 0.1006
0.0000 12.0000 0.0305
0.0000 11.0000 -0.0761
0.0000 10.0000 -0.1074
0.0000 9.0000 -0.0266
0.0000 8.0000 0.0860
0.0000 7.0000 0.1138
0.0000 6.0000 0.0243
0.0000 5.0000 -0.0940
0.0000 4.0000 -0.1198
0.0000 3.0000 -0.0232
0.0000 2.0000 0.1005
0.0000 1.0000 0.1253
0.0000 0.0000 0.0229
0.0000 -1.0000 -0.1057
0.0000 -2.0000 -0.1303
0.0000 -3.0000 -0.0232
0.0000 -4.0000 0.1099
0.0000 -5.0000 0.1348
0.0000 -6.0000 0.0240
0.0000 -7.0000 -0.1133
0.0000 -8.0000 -0.1390
0.0000 -9.0000 -0.0251
0.0000 -10.0000 0.1161
0.0000 -11.0000 0.1429
0.0000 -12.0000 0.0265
0.0000 -13.0000 -0.1183
0.0000 -14.0000 -0.1465
0.0000 -15.0000 -0.0281
0.0000 -16.0000 0.1201
0.0000 -17.0000 0.1499
0.0000 -18.0000 0.0300
0.0000 -19.0000 -0.1214
0.0000 -20.0000 -0.1533
0.0000 -21.0000 -0.0322
0.0000 -22.0000 0.1225
0.0000 -23.0000 0.1565
0.0000 -24.0000 0.0347
0.0000 -25.0000 -0.1232
0.0000 -26.0000 -0.1598
0.0000 -27.0000 -0.0374
0.0000 -28.0000 0.1236
0.0000 -29.0000 0.1631
0.0000 -30.0000 0.0406
0.0000 -31.0000 -0.1236
0.0000 -32.0000 -0.1664
0.0000 -33.0000 -0.0442
0.0000 -34.0000 0.1232
0.0000 -35.0000 0.1699
0.0000 -36.0000 0.0483
0.0000 -37.0000 -0.1224
0.0000 -38.0000 -0.1734
0.0000 -39.0000 -0.0530
0.0000 -40.0000 0.1211
0.0000 -41.0000 0.1770
0.0000 -42.0000 0.0584
0.0000 -43.0000 -0.1191
0.0000 -44.0000 -0.1807
0.0000 -45.0000 -0.0646
0.0000 -46.0000 0.1163
0.0000 -47.0000 0.1844
0.0000 -48.0000 0.0717
0.0000 -49.0000 -0.1126
0.0000 -50.0000 -0.1880
0.0000 -51.0000 -0.0798
0.0000 -52.0000 0.1076
0.0000 -53.0000 0.1914
0.0000 -54.0000 0.0890
0.0000 -55.0000 -0.1011
0.0000 -56.0000 -0.1943
0.0000 -57.0000 -0.0994
0.0000 -58.0000 0.0927
0.0000 -59.0000 0.1965
0.0000 -60.0000 0.1112
0.0000 -61.0000 -0.0819
0.0000 -62.0000 -0.1973
0.0000 -63.0000 -0.1241
0.0000 -64.0000 0.0683
0.0000 -65.0000 0.1963
0.0000 -66.0000 0.1380
0.0000 -67.0000 -0.0512
0.0000 -68.0000 -0.1923
0.0000 -69.0000 -0.1525
0.0000 -70.0000 0.0302
0.0000 -71.0000 0.1843
0.0000 -72.0000 0.1666
0.0000 -73.0000 -0.0049
0.0000 -74.0000 -0.1707
0.0000 -75.0000 -0.1791
0.0000 -76.0000 -0.0249
0.0000 -77.0000 0.1498
0.0000 -78.0000 0.1879
0.0000 -79.0000 0.0587
0.0000 -80.0000 -0.1198
0.0000 -81.0000 -0.1905
0.0000 -82.0000 -0.0959
0.0000 -83.0000 0.0783
0.0000 -84.0000 0.1835
0.0000 -85.0000 0.1360
0.0000 -86.0000 -0.0199
0.0000 -87.0000 -0.1584
0.0000 -88.0000 -0.1769
0.0000 -89.0000 -0.0688
0.0000 -90.0000 0.0859
