lon lat total
0.0000 90.0000 -1.2774
0.0000 89.0000 -0.7112
0.0000 88.0000 1.9158
0.0000 87.0000 5.4706
0.0000 86.0000 7.9260
0.0000 85.0000 7.8024
0.0000 84.0000 5.2520
0.0000 83.0000 1.9417
0.0000 82.0000 -0.2133
0.0000 81.0000 -0.5373
0.0000 80.0000 -0.1583
0.0000 79.0000 -1.1329
0.0000 78.0000 -4.6830
0.0000 77.0000 -9.8474
0.0000 76.0000 -13.6949
0.0000 75.0000 -13.1809
0.0000 74.0000 -7.4547
0.0000 73.0000 1.1051
0.0000 72.0000 8.0995
0.0000 71.0000 9.9221
0.0000 70.0000 6.2231
0.0000 69.0000 0.1525
0.0000 68.0000 -3.9147
0.0000 67.0000 -3.5372
0.0000 66.0000 0.1469
0.0000 65.0000 3.5564
0.0000 64.0000 3.6598
0.0000 63.0000 0.4003
0.0000 62.0000 -3.4029
0.0000 61.0000 -4.5338
0.0000 60.0000 -2.1084
0.0000 59.0000 1.7551
0.0000 58.0000 3.8412
0.0000 57.0000 2.6122
0.0000 56.0000 -0.5676
0.0000 55.0000 -2.7728
0.0000 54.0000 -2.1616
0.0000 53.0000 0.4569
0.0000 52.0000 2.4914
0.0000 51.0000 2.0139
0.0000 50.0000 -0.4820
0.0000 49.0000 -2.5970
0.0000 48.0000 -2.2964
0.0000 47.0000 0.1864
0.0000 46.0000 2.5702
0.0000 45.0000 2.6460
0.0000 44.0000 0.3222
0.0000 43.0000 -2.2925
0.0000 42.0000 -2.8320
0.0000 41.0000 -0.8350
0.0000 40.0000 1.8590
0.0000 39.0000 2.8179
0.0000 38.0000 1.2336
0.0000 37.0000 -1.3878
0.0000 36.0000 -2.6562
0.0000 35.0000 -1.4893
0.0000 34.0000 0.9547
0.0000 33.0000 2.4138
0.0000 32.0000 1.6198
0.0000 31.0000 -0.5927
0.0000 30.0000 -2.1422
0.0000 29.0000 -1.6568
0.0000 28.0000 0.3078
0.0000 27.0000 1.8736
0.0000 26.0000 1.6307
0.0000 25.0000 -0.0929
0.0000 24.0000 -1.6254
0.0000 23.0000 -1.5658
0.0000 22.0000 -0.0637
0.0000 21.0000 1.4047
0.0000 20.0000 1.4793
0.0000 19.0000 0.1740
0.0000 18.0000 -1.2132
0.0000 17.0000 -1.3829
0.0000 16.0000 -0.2489
0.0000 15.0000 1.0493
0.0000 14.0000 1.2840
0.0000 13.0000 0.2972
0.0000 12.0000 -0.9103
0.0000 11.0000 -1.1871
