lon lat total
0.0000 90.0000 0.5554
0.0000 89.0000 -0.9047
0.0000 88.0000 -3.4132
0.0000 87.0000 -5.6916
0.0000 86.0000 -6.1399
0.0000 85.0000 -4.0496
0.0000 84.0000 -0.2680
0.0000 83.0000 3.3205
0.0000 82.0000 5.1640
0.0000 81.0000 5.1778
0.0000 80.0000 4.6846
0.0000 79.0000 5.1720
0.0000 78.0000 6.8991
0.0000 77.0000 8.5750
0.0000 76.0000 8.4657
0.0000 75.0000 6.0511
0.0000 74.0000 2.7964
0.0000 73.0000 1.2418
0.0000 72.0000 2.9992
0.0000 71.0000 7.2328
0.0000 70.0000 10.9445
0.0000 69.0000 11.0141
0.0000 68.0000 6.5269
0.0000 67.0000 -0.3922
0.0000 66.0000 -5.9378
0.0000 65.0000 -7.2161
0.0000 64.0000 -4.1726
0.0000 63.0000 0.5328
0.0000 62.0000 3.5380
0.0000 61.0000 3.1295
0.0000 60.0000 0.2204
0.0000 59.0000 -2.6295
0.0000 58.0000 -3.2566
0.0000 57.0000 -1.4042
0.0000 56.0000 1.3360
0.0000 55.0000 2.9184
0.0000 54.0000 2.3795
0.0000 53.0000 0.3742
0.0000 52.0000 -1.5332
0.0000 51.0000 -2.1113
0.0000 50.0000 -1.2503
0.0000 49.0000 0.1888
0.0000 48.0000 1.1664
0.0000 47.0000 1.1958
0.0000 46.0000 0.5139
0.0000 45.0000 -0.2787
0.0000 44.0000 -0.7032
0.0000 43.0000 -0.6416
0.0000 42.0000 -0.2635
0.0000 41.0000 0.1732
0.0000 40.0000 0.4600
0.0000 39.0000 0.4788
0.0000 38.0000 0.2214
0.0000 37.0000 -0.1808
0.0000 36.0000 -0.4807
0.0000 35.0000 -0.4533
0.0000 34.0000 -0.0828
0.0000 33.0000 0.3736
0.0000 32.0000 0.5535
0.0000 31.0000 0.2877
0.0000 30.0000 -0.2272
0.0000 29.0000 -0.5647
0.0000 28.0000 -0.4276
0.0000 27.0000 0.0799
0.0000 26.0000 0.5230
0.0000 25.0000 0.5113
0.0000 24.0000 0.0502
0.0000 23.0000 -0.4539
0.0000 22.0000 -0.5518
0.0000 21.0000 -0.1568
0.0000 20.0000 0.3739
0.0000 19.0000 0.5614
0.0000 18.0000 0.2399
0.0000 17.0000 -0.2929
0.0000 16.0000 -0.5502
0.0000 15.0000 -0.3020
0.0000 14.0000 0.2163
0.0000 13.0000 0.5255
0.0000 12.0000 0.3464
0.0000 11.0000 -0.1464
0.0000 10.0000 -0.4928
0.0000 9.0000 -0.3766
0.0000 8.0000 0.0844
0.0000 7.0000 0.4558
0.0000 6.0000 0.3956
0.0000 5.0000 -0.0300
0.0000 4.0000 -0.4168
0.0000 3.0000 -0.4059
0.0000 2.0000 -0.0170
0.0000 1.0000 0.3777
0.0000 0.0000 0.4095
0.0000 -1.0000 0.0576
0.0000 -2.0000 -0.3392
0.0000 -3.0000 -0.4080
0.0000 -4.0000 -0.0924
0.0000 -5.0000 0.3020
0.0000 -6.0000 0.4028
0.0000 -7.0000 0.1223
0.0000 -8.0000 -0.2664
0.0000 -9.0000 -0.3947
0.0000 -10.0000 -0.1479
0.0000 -11.0000 0.2325
0.0000 -12.0000 0.3844
0.0000 -13.0000 0.1698
0.0000 -14.0000 -0.2002
0.0000 -15.0000 -0.3725
0.0000 -16.0000 -0.1886
0.0000 -17.0000 0.1696
0.0000 -18.0000 0.3592
0.0000 -19.0000 0.2047
0.0000 -20.0000 -0.1403
0.0000 -21.0000 -0.3449
0.0000 -22.0000 -0.2184
0.0000 -23.0000 0.1123
0.0000 -24.0000 0.3297
0.0000 -25.0000 0.2302
0.0000 -26.0000 -0.0854
0.0000 -27.0000 -0.3136
0.0000 -28.0000 -0.2400
0.0000 -29.0000 0.0595
0.0000 -30.0000 0.2968
0.0000 -31.0000 0.2482
0.0000 -32.0000 -0.0345
0.0000 -33.0000 -0.2790
0.0000 -34.0000 -0.2548
0.0000 -35.0000 0.0101
0.0000 -36.0000 0.2604
0.0000 -37.0000 0.2597
0.0000 -38.0000 0.0136
0.0000 -39.0000 -0.2407
0.0000 -40.0000 -0.2629
0.0000 -41.0000 -0.0366
0.0000 -42.0000 0.2198
0.0000 -43.0000 0.2642
0.0000 -44.0000 0.0590
0.0000 -45.0000 -0.1978
0.0000 -46.0000 -0.2636
0.0000 -47.0000 -0.0806
0.0000 -48.0000 0.1743
0.0000 -49.0000 0.2606
0.0000 -50.0000 0.1012
0.0000 -51.0000 -0.1495
0.0000 -52.0000 -0.2550
0.0000 -53.0000 -0.1204
0.0000 -54.0000 0.1233
0.0000 -55.0000 0.2465
0.0000 -56.0000 0.1378
0.0000 -57.0000 -0.0959
0.0000 -58.0000 -0.2347
0.0000 -59.0000 -0.1528
0.0000 -60.0000 0.0677
0.0000 -61.0000 0.2192
0.0000 -62.0000 0.1646
0.0000 -63.0000 -0.0392
0.0000 -64.0000 -0.2001
0.0000 -65.0000 -0.1724
0.0000 -66.0000 0.0114
0.0000 -67.0000 0.1776
0.0000 -68.0000 0.1756
0.0000 -69.0000 0.0147
0.0000 -70.0000 -0.1521
0.0000 -71.0000 -0.1738
0.0000 -72.0000 -0.0382
0.0000 -73.0000 0.1244
0.0000 -74.0000 0.1670
0.0000 -75.0000 0.0588
0.0000 -76.0000 -0.0946
0.0000 -77.0000 -0.1550
0.0000 -78.0000 -0.0769
0.0000 -79.0000 0.0602
0.0000 -80.0000 0.1340
