lon lat total
0.0000 90.0000 1.7220
0.0000 89.0000 3.7161
0.0000 88.0000 3.3947
0.0000 87.0000 0.8388
0.0000 86.0000 -2.4526
0.0000 85.0000 -4.7451
0.0000 84.0000 -5.2426
0.0000 83.0000 -4.3507
0.0000 82.0000 -2.9920
0.0000 81.0000 -1.7359
0.0000 80.0000 -0.5371
0.0000 79.0000 0.8094
0.0000 78.0000 2.0961
0.0000 77.0000 2.6801
0.0000 76.0000 2.0702
0.0000 75.0000 0.5332
0.0000 74.0000 -0.9357
0.0000 73.0000 -1.3386
0.0000 72.0000 -0.4804
0.0000 71.0000 0.8682
0.0000 70.0000 1.6120
0.0000 69.0000 1.2165
0.0000 68.0000 0.0739
0.0000 67.0000 -0.9292
0.0000 66.0000 -1.2054
0.0000 65.0000 -0.8971
0.0000 64.0000 -0.5997
0.0000 63.0000 -0.7017
0.0000 62.0000 -0.9985
0.0000 61.0000 -0.9338
0.0000 60.0000 -0.2107
0.0000 59.0000 0.8373
0.0000 58.0000 1.4804
0.0000 57.0000 1.2229
0.0000 56.0000 0.2474
0.0000 55.0000 -0.7278
0.0000 54.0000 -1.0422
0.0000 53.0000 -0.6044
0.0000 52.0000 0.1083
0.0000 51.0000 0.5128
0.0000 50.0000 0.4025
0.0000 49.0000 0.0347
0.0000 48.0000 -0.1928
0.0000 47.0000 -0.1248
0.0000 46.0000 0.0641
0.0000 45.0000 0.1129
0.0000 44.0000 -0.0360
0.0000 43.0000 -0.1944
0.0000 42.0000 -0.1528
0.0000 41.0000 0.0799
0.0000 40.0000 0.2752
0.0000 39.0000 0.2199
0.0000 38.0000 -0.0570
0.0000 37.0000 -0.2998
0.0000 36.0000 -0.2721
0.0000 35.0000 0.0094
0.0000 34.0000 0.2852
0.0000 33.0000 0.2986
0.0000 32.0000 0.0392
0.0000 31.0000 -0.2497
0.0000 30.0000 -0.3023
0.0000 29.0000 -0.0785
0.0000 28.0000 0.2063
0.0000 27.0000 0.2895
0.0000 26.0000 0.1057
0.0000 25.0000 -0.1629
0.0000 24.0000 -0.2666
0.0000 23.0000 -0.1216
0.0000 22.0000 0.1234
0.0000 21.0000 0.2383
0.0000 20.0000 0.1283
0.0000 19.0000 -0.0893
0.0000 18.0000 -0.2081
0.0000 17.0000 -0.1281
0.0000 16.0000 0.0610
0.0000 15.0000 0.1778
0.0000 14.0000 0.1228
0.0000 13.0000 -0.0381
0.0000 12.0000 -0.1489
0.0000 11.0000 -0.1142
0.0000 10.0000 0.0199
0.0000 9.0000 0.1218
0.0000 8.0000 0.1032
0.0000 7.0000 -0.0057
0.0000 6.0000 -0.0968
0.0000 5.0000 -0.0909
0.0000 4.0000 -0.0052
0.0000 3.0000 0.0740
0.0000 2.0000 0.0778
0.0000 1.0000 0.0133
0.0000 0.0000 -0.0533
0.0000 -1.0000 -0.0643
0.0000 -2.0000 -0.0192
0.0000 -3.0000 0.0345
0.0000 -4.0000 0.0508
0.0000 -5.0000 0.0233
0.0000 -6.0000 -0.0174
0.0000 -7.0000 -0.0373
0.0000 -8.0000 -0.0259
0.0000 -9.0000 0.0019
0.0000 -10.0000 0.0239
0.0000 -11.0000 0.0272
0.0000 -12.0000 0.0123
0.0000 -13.0000 -0.0107
0.0000 -14.0000 -0.0274
0.0000 -15.0000 -0.0253
0.0000 -16.0000 -0.0023
0.0000 -17.0000 0.0267
0.0000 -18.0000 0.0372
0.0000 -19.0000 0.0152
0.0000 -20.0000 -0.0252
0.0000 -21.0000 -0.0482
0.0000 -22.0000 -0.0280
0.0000 -23.0000 0.0228
0.0000 -24.0000 0.0584
0.0000 -25.0000 0.0408
0.0000 -26.0000 -0.0197
0.0000 -27.0000 -0.0678
0.0000 -28.0000 -0.0537
0.0000 -29.0000 0.0157
0.0000 -30.0000 0.0765
0.0000 -31.0000 0.0667
0.0000 -32.0000 -0.0108
0.0000 -33.0000 -0.0845
0.0000 -34.0000 -0.0799
0.0000 -35.0000 0.0050
0.0000 -36.0000 0.0917
0.0000 -37.0000 0.0933
0.0000 -38.0000 0.0019
0.0000 -39.0000 -0.0980
0.0000 -40.0000 -0.1072
0.0000 -41.0000 -0.0101
0.0000 -42.0000 0.1035
0.0000 -43.0000 0.1214
0.0000 -44.0000 0.0198
0.0000 -45.0000 -0.1077
0.0000 -46.0000 -0.1360
0.0000 -47.0000 -0.0311
0.0000 -48.0000 0.1106
0.0000 -49.0000 0.1509
0.0000 -50.0000 0.0445
0.0000 -51.0000 -0.1116
0.0000 -52.0000 -0.1661
0.0000 -53.0000 -0.0601
0.0000 -54.0000 0.1104
0.0000 -55.0000 0.1813
0.0000 -56.0000 0.0783
0.0000 -57.0000 -0.1062
0.0000 -58.0000 -0.1960
0.0000 -59.0000 -0.0994
0.0000 -60.0000 0.0982
0.0000 -61.0000 0.2097
0.0000 -62.0000 0.1236
0.0000 -63.0000 -0.0854
0.0000 -64.0000 -0.2213
0.0000 -65.0000 -0.1508
0.0000 -66.0000 0.0666
0.0000 -67.0000 0.2292
0.0000 -68.0000 0.1807
0.0000 -69.0000 -0.0403
0.0000 -70.0000 -0.2314
0.0000 -71.0000 -0.2123
0.0000 -72.0000 0.0054
0.0000 -73.0000 0.2251
0.0000 -74.0000 0.2437
0.0000 -75.0000 0.0392
0.0000 -76.0000 -0.2067
0.0000 -77.0000 -0.2716
0.0000 -78.0000 -0.0937
0.0000 -79.0000 0.1720
0.0000 -80.0000 0.2914
0.0000 -81.0000 0.1579
0.0000 -82.0000 -0.1155
0.0000 -83.0000 -0.2963
0.0000 -84.0000 -0.2314
0.0000 -85.0000 0.0270
0.0000 -86.0000 0.2713
0.0000 -87.0000 0.3105
0.0000 -88.0000 0.1167
0.0000 -89.0000 -0.1676
0.0000 -90.0000 -0.3479
1.0000 90.0000 1.7220
1.0000 89.0000 3.6959
1.0000 88.0000 3.4419
1.0000 87.0000 1.0322
1.0000 86.0000 -2.1463
1.0000 85.0000 -4.4932
1.0000 84.0000 -5.2517
1.0000 83.0000 -4.7228
1.0000 82.0000 -3.6518
1.0000 81.0000 -2.4945
1.0000 80.0000 -1.2400
1.0000 79.0000 0.1764
1.0000 78.0000 1.4335
1.0000 77.0000 1.9075
1.0000 76.0000 1.2431
1.0000 75.0000 -0.1669
1.0000 74.0000 -1.3357
1.0000 73.0000 -1.4200
1.0000 72.0000 -0.4119
1.0000 71.0000 0.8437
1.0000 70.0000 1.3429
1.0000 69.0000 0.7312
1.0000 68.0000 -0.4684
1.0000 67.0000 -1.3675
1.0000 66.0000 -1.4712
1.0000 65.0000 -1.0063
1.0000 64.0000 -0.5756
1.0000 63.0000 -0.5239
1.0000 62.0000 -0.6351
1.0000 61.0000 -0.4256
1.0000 60.0000 0.2872
1.0000 59.0000 1.1169
1.0000 58.0000 1.4138
1.0000 57.0000 0.8609
1.0000 56.0000 -0.1995
1.0000 55.0000 -1.0211
1.0000 54.0000 -1.0614
1.0000 53.0000 -0.4033
1.0000 52.0000 0.3649
1.0000 51.0000 0.6728
1.0000 50.0000 0.4134
1.0000 49.0000 -0.0567
1.0000 48.0000 -0.3032
1.0000 47.0000 -0.1974
1.0000 46.0000 0.0421
1.0000 45.0000 0.1305
1.0000 44.0000 0.0085
1.0000 43.0000 -0.1363
1.0000 42.0000 -0.1051
1.0000 41.0000 0.0868
1.0000 40.0000 0.2285
1.0000 39.0000 0.1451
1.0000 38.0000 -0.1060
1.0000 37.0000 -0.2819
1.0000 36.0000 -0.1973
1.0000 35.0000 0.0827
1.0000 34.0000 0.2967
1.0000 33.0000 0.2380
1.0000 32.0000 -0.0430
1.0000 31.0000 -0.2842
1.0000 30.0000 -0.2608
1.0000 29.0000 0.0020
1.0000 28.0000 0.2560
1.0000 27.0000 0.2670
1.0000 26.0000 0.0331
1.0000 25.0000 -0.2209
1.0000 24.0000 -0.2607
1.0000 23.0000 -0.0600
1.0000 22.0000 0.1844
1.0000 21.0000 0.2457
1.0000 20.0000 0.0785
1.0000 19.0000 -0.1496
1.0000 18.0000 -0.2255
1.0000 17.0000 -0.0898
1.0000 16.0000 0.1181
1.0000 15.0000 0.2025
1.0000 14.0000 0.0952
1.0000 13.0000 -0.0905
1.0000 12.0000 -0.1784
1.0000 11.0000 -0.0960
1.0000 10.0000 0.0669
1.0000 9.0000 0.1543
1.0000 8.0000 0.0932
1.0000 7.0000 -0.0468
1.0000 6.0000 -0.1309
1.0000 5.0000 -0.0880
1.0000 4.0000 0.0301
1.0000 3.0000 0.1085
1.0000 2.0000 0.0808
1.0000 1.0000 -0.0162
1.0000 0.0000 -0.0874
1.0000 -1.0000 -0.0724
1.0000 -2.0000 0.0048
1.0000 -3.0000 0.0676
1.0000 -4.0000 0.0629
1.0000 -5.0000 0.0045
1.0000 -6.0000 -0.0491
1.0000 -7.0000 -0.0529
1.0000 -8.0000 -0.0120
1.0000 -9.0000 0.0317
1.0000 -10.0000 0.0423
1.0000 -11.0000 0.0180
1.0000 -12.0000 -0.0155
1.0000 -13.0000 -0.0314
1.0000 -14.0000 -0.0225
1.0000 -15.0000 0.0002
1.0000 -16.0000 0.0202
1.0000 -17.0000 0.0259
1.0000 -18.0000 0.0141
1.0000 -19.0000 -0.0088
1.0000 -20.0000 -0.0281
1.0000 -21.0000 -0.0277
1.0000 -22.0000 -0.0030
1.0000 -23.0000 0.0293
1.0000 -24.0000 0.0405
1.0000 -25.0000 0.0150
1.0000 -26.0000 -0.0295
1.0000 -27.0000 -0.0527
1.0000 -28.0000 -0.0275
1.0000 -29.0000 0.0287
1.0000 -30.0000 0.0642
1.0000 -31.0000 0.0403
1.0000 -32.0000 -0.0268
1.0000 -33.0000 -0.0751
1.0000 -34.0000 -0.0537
1.0000 -35.0000 0.0238
1.0000 -36.0000 0.0854
1.0000 -37.0000 0.0677
1.0000 -38.0000 -0.0194
1.0000 -39.0000 -0.0950
1.0000 -40.0000 -0.0823
1.0000 -41.0000 0.0136
1.0000 -42.0000 0.1037
1.0000 -43.0000 0.0977
1.0000 -44.0000 -0.0060
1.0000 -45.0000 -0.1115
1.0000 -46.0000 -0.1139
1.0000 -47.0000 -0.0035
1.0000 -48.0000 0.1179
1.0000 -49.0000 0.1308
1.0000 -50.0000 0.0154
1.0000 -51.0000 -0.1226
1.0000 -52.0000 -0.1485
1.0000 -53.0000 -0.0300
1.0000 -54.0000 0.1250
1.0000 -55.0000 0.1667
1.0000 -56.0000 0.0477
1.0000 -57.0000 -0.1245
1.0000 -58.0000 -0.1850
1.0000 -59.0000 -0.0690
1.0000 -60.0000 0.1200
1.0000 -61.0000 0.2028
1.0000 -62.0000 0.0942
1.0000 -63.0000 -0.1103
1.0000 -64.0000 -0.2190
1.0000 -65.0000 -0.1236
1.0000 -66.0000 0.0940
1.0000 -67.0000 0.2320
1.0000 -68.0000 0.1567
1.0000 -69.0000 -0.0693
1.0000 -70.0000 -0.2394
1.0000 -71.0000 -0.1928
1.0000 -72.0000 0.0345
1.0000 -73.0000 0.2380
1.0000 -74.0000 0.2299
1.0000 -75.0000 0.0118
1.0000 -76.0000 -0.2234
1.0000 -77.0000 -0.2642
1.0000 -78.0000 -0.0702
1.0000 -79.0000 0.1907
