lat lon
316.0900 59.9000
316.0125 59.8972
315.9385 59.8962
315.8680 59.8969
315.8007 59.8994
315.7365 59.9036
315.6753 59.9093
315.6170 59.9166
315.5614 59.9253
315.5084 59.9354
315.4578 59.9469
315.4096 59.9596
315.3635 59.9735
315.3195 59.9886
315.2775 60.0047
315.2372 60.0219
315.1985 60.0399
315.1614 60.0589
315.1257 60.0787
315.0912 60.0993
315.0578 60.1205
315.0254 60.1423
314.9939 60.1648
314.9631 60.1877
314.9328 60.2110
314.9030 60.2347
314.8735 60.2588
314.8441 60.2830
314.8149 60.3074
314.7855 60.3320
314.7559 60.3566
314.7259 60.3811
314.6954 60.4056
314.6643 60.4300
314.6324 60.4541
314.5997 60.4779
314.5659 60.5015
314.5309 60.5246
314.4946 60.5472
314.4569 60.5693
314.4176 60.5908
314.3767 60.6117
314.3340 60.6318
314.2897 60.6512
314.2439 60.6697
314.1967 60.6873
314.1482 60.7041
314.0985 60.7198
314.0477 60.7344
313.9959 60.7480
313.9432 60.7604
313.8897 60.7715
313.8355 60.7814
313.7807 60.7900
313.7254 60.7972
313.6697 60.8029
313.6137 60.8073
313.5574 60.8104
313.5007 60.8125
313.4437 60.8135
313.3864 60.8137
313.3289 60.8132
313.2711 60.8121
313.2131 60.8106
313.1548 60.8088
313.0964 60.8068
313.0377 60.8049
312.9788 60.8030
312.9198 60.8014
312.8606 60.8002
312.8013 60.7995
312.7418 60.7995
312.6823 60.8003
312.6226 60.8020
312.5630 60.8046
312.5034 60.8081
312.4441 60.8124
312.3850 60.8177
312.3263 60.8238
312.2680 60.8308
312.2103 60.8387
312.1532 60.8474
312.0969 60.8570
312.0413 60.8674
311.9867 60.8787
311.9330 60.8908
311.8804 60.9038
311.8289 60.9176
311.7787 60.9322
311.7299 60.9477
311.6825 60.9640
311.6366 60.9811
311.5923 60.9990
311.5496 61.0178
311.5086 61.0373
311.4691 61.0575
311.4310 61.0784
311.3942 61.0999
311.3587 61.1220
311.3243 61.1447
311.2909 61.1678
311.2584 61.1914
311.2268 61.2154
311.1960 61.2398
311.1658 61.2645
311.1362 61.2894
311.1070 61.3146
311.0782 61.3399
311.0496 61.3654
311.0213 61.3910
310.9930 61.4166
310.9647 61.4422
310.9363 61.4678
310.9076 61.4933
310.8787 61.5186
310.8495 61.5438
310.8200 61.5689
310.7903 61.5938
310.7604 61.6187
310.7303 61.6434
310.7000 61.6681
310.6697 61.6927
310.6393 61.7172
310.6089 61.7417
310.5784 61.7661
310.5480 61.7905
310.5177 61.8149
310.4875 61.8393
310.4574 61.8636
310.4275 61.8881
310.3977 61.9125
310.3682 61.9369
310.3390 61.9615
310.3101 61.9860
310.2815 62.0107
310.2533 62.0354
310.2255 62.0603
310.1981 62.0852
310.1712 62.1103
310.1448 62.1354
310.1190 62.1608
310.0937 62.1862
310.0690 62.2119
310.0449 62.2377
310.0213 62.2636
309.9982 62.2896
309.9755 62.3158
309.9532 62.3421
309.9312 62.3685
309.9096 62.3950
309.8882 62.4215
309.8670 62.4481
309.8459 62.4747
309.8250 62.5014
309.8041 62.5281
309.7832 62.5548
309.7623 62.5815
309.7413 62.6082
309.7202 62.6349
309.6990 62.6616
309.6775 62.6882
309.6557 62.7147
309.6337 62.7412
309.6113 62.7676
309.5885 62.7939
309.5652 62.8201
309.5415 62.8461
309.5172 62.8721
309.4923 62.8979
309.4669 62.9235
309.4408 62.9490
309.4141 62.9744
309.3869 62.9997
309.3592 63.0248
309.3309 63.0498
309.3021 63.0747
309.2729 63.0995
309.2432 63.1242
309.2130 63.1488
309.1824 63.1734
309.1514 63.1978
309.1199 63.2222
309.0882 63.2465
309.0560 63.2708
309.0235 63.2950
308.9907 63.3192
308.9576 63.3433
308.9242 63.3674
308.8905 63.3915
308.8566 63.4155
308.8224 63.4395
308.7880 63.4636
308.7535 63.4876
308.7187 63.5116
308.6838 63.5357
308.6488 63.5598
308.6136 63.5839
308.5783 63.6080
308.5430 63.6322
308.5077 63.6564
308.4725 63.6806
308.4376 63.7050
308.4030 63.7294
308.3689 63.7539
308.3353 63.7785
308.3023 63.8032
308.2701 63.8280
308.2387 63.8529
308.2083 63.8780
308.1789 63.9032
308.1506 63.9285
308.1236 63.9541
308.0979 63.9797
308.0737 64.0056
308.0510 64.0316
308.0299 64.0579
308.0106 64.0843
307.9931 64.1109
307.9774 64.1378
307.9635 64.1649
307.9513 64.1921
307.9405 64.2195
307.9313 64.2471
307.9233 64.2749
307.9165 64.3028
307.9109 64.3308
307.9063 64.3590
307.9025 64.3873
307.8996 64.4157
307.8974 64.4441
307.8957 64.4727
307.8945 64.5013
307.8937 64.5299
307.8931 64.5587
307.8927 64.5874
307.8924 64.6162
307.8920 64.6449
307.8914 64.6737
307.8906 64.7025
307.8894 64.7312
307.8877 64.7599
307.8854 64.7886
307.8824 64.8172
307.8787 64.8458
307.8740 64.8742
307.8683 64.9026
307.8615 64.9309
307.8535 64.9590
307.8442 64.9871
307.8334 65.0150
307.8211 65.0427
307.8071 65.0703
307.7914 65.0977
307.7738 65.1250
307.7544 65.1521
307.7332 65.1789
307.7102 65.2055
307.6854 65.2319
307.6588 65.2580
307.6305 65.2839
307.6006 65.3095
307.5689 65.3347
307.5356 65.3597
307.5007 65.3843
307.4642 65.4086
307.4261 65.4325
307.3864 65.4561
307.3452 65.4792
307.3025 65.5020
307.2584 65.5243
307.2127 65.5462
307.1657 65.5677
307.1172 65.5887
307.0673 65.6092
307.0163 65.6293
306.9644 65.6490
306.9120 65.6685
306.8594 65.6879
306.8071 65.7072
306.7553 65.7266
306.7045 65.7462
306.6549 65.7661
306.6070 65.7863
306.5611 65.8070
306.5175 65.8283
306.4766 65.8503
306.4388 65.8730
306.4044 65.8967
306.3738 65.9213
306.3470 65.9469
306.3242 65.9732
306.3054 66.0004
306.2908 66.0281
306.2803 66.0564
306.2740 66.0851
306.2721 66.1142
306.2746 66.1436
306.2815 66.1731
306.2930 66.2027
306.3090 66.2322
306.3298 66.2616
306.3553 66.2908
306.3856 66.3197
306.4208 66.3482
306.4610 66.3762
306.5062 66.4036
306.5562 66.4303
306.6096 66.4563
306.6648 66.4817
306.7205 66.5065
306.7751 66.5306
306.8271 66.5542
306.8750 66.5772
306.9174 66.5996
306.9527 66.6215
306.9793 66.6428
306.9959 66.6636
307.0010 66.6840
306.9931 66.7038
306.9727 66.7233
306.9414 66.7424
306.9004 66.7613
306.8513 66.7800
306.7957 66.7987
306.7348 66.8174
306.6702 66.8363
306.6035 66.8553
306.5359 66.8747
306.4691 66.8944
306.4044 66.9146
306.3434 66.9354
306.2874 66.9569
306.2381 66.9790
306.1968 67.0020
306.1645 67.0259
306.1409 67.0507
306.1253 67.0762
306.1170 67.1024
306.1155 67.1292
306.1200 67.1566
306.1298 67.1846
306.1444 67.2129
306.1630 67.2417
306.1851 67.2707
306.2098 67.3000
306.2367 67.3294
306.2650 67.3590
306.2941 67.3885
306.3233 67.4181
306.3519 67.4475
306.3794 67.4768
306.4050 67.5059
306.4284 67.5346
306.4496 67.5631
306.4690 67.5914
306.4869 67.6195
306.5033 67.6473
306.5187 67.6750
306.5332 67.7025
306.5470 67.7298
306.5605 67.7571
306.5738 67.7842
306.5873 67.8113
306.6011 67.8383
306.6155 67.8652
306.6307 67.8922
306.6470 67.9191
306.6647 67.9461
306.6839 67.9731
306.7049 68.0002
306.7280 68.0273
306.7534 68.0546
306.7813 68.0819
306.8120 68.1094
306.8455 68.1369
306.8820 68.1642
306.9214 68.1911
306.9638 68.2173
307.0091 68.2426
307.0574 68.2669
307.1088 68.2899
307.1632 68.3115
307.2207 68.3313
307.2813 68.3492
307.3451 68.3649
307.4120 68.3783
307.4821 68.3892
307.5554 68.3973
307.6319 68.4024
307.7112 68.4048
307.7925 68.4049
307.8750 68.4033
307.9580 68.4007
308.0405 68.3975
308.1218 68.3943
308.2011 68.3916
308.2776 68.3901
308.3505 68.3903
308.4190 68.3927
308.4822 68.3978
308.5395 68.4063
308.5909 68.4181
308.6368 68.4330
308.6776 68.4508
308.7139 68.4712
308.7460 68.4940
308.7745 68.5189
308.7999 68.5457
308.8224 68.5741
308.8427 68.6040
308.8611 68.6351
308.8782 68.6670
308.8944 68.6997
308.9101 68.7328
308.9258 68.7661
308.9419 68.7994
308.9590 68.8324
308.9774 68.8649
308.9977 68.8966
309.0201 68.9274
309.0444 68.9572
309.0700 68.9863
309.0965 69.0145
309.1232 69.0422
309.1497 69.0694
309.1754 69.0961
309.1997 69.1226
309.2223 69.1488
309.2425 69.1749
309.2598 69.2011
309.2737 69.2274
309.2836 69.2538
309.2891 69.2806
309.2896 69.3079
309.2848 69.3355
309.2749 69.3635
309.2601 69.3917
309.2407 69.4199
309.2168 69.4481
309.1887 69.4759
309.1565 69.5035
309.1205 69.5305
309.0809 69.5568
309.0380 69.5823
308.9918 69.6070
308.9428 69.6305
308.8909 69.6528
308.8366 69.6738
308.7799 69.6933
308.7212 69.7113
308.6605 69.7279
308.5981 69.7434
308.5343 69.7580
308.4692 69.7720
308.4029 69.7855
308.3358 69.7989
308.2679 69.8122
308.1996 69.8259
308.1310 69.8400
308.0623 69.8548
307.9937 69.8705
307.9255 69.8875
307.8577 69.9058
307.7906 69.9257
307.7245 69.9475
307.6595 69.9713
307.5958 69.9975
307.5335 70.0260
307.4725 70.0558
307.4125 70.0858
307.3530 70.1145
307.2938 70.1407
307.2347 70.1631
307.1752 70.1804
307.1150 70.1913
307.0539 70.1945
306.9915 70.1887
306.9290 70.1735
306.8714 70.1512
306.8244 70.1245
