20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 109.5051
20.0000 2.5000 134.9544
20.0000 3.0000 161.1288
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 120.3790
25.0000 2.0000 152.1230
25.0000 2.5000 184.2037
25.0000 3.0000 215.7125
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 117.6208
30.0000 1.5000 154.9960
30.0000 2.0000 192.3502
30.0000 2.5000 228.2979
30.0000 3.0000 261.6899
35.0000 0.0000 0.0000
35.0000 0.5000 101.5650
35.0000 1.0000 144.0459
35.0000 1.5000 186.4842
35.0000 2.0000 226.8987
35.0000 2.5000 263.6782
35.0000 3.0000 295.8242
40.0000 0.0000 0.0000
40.0000 0.5000 120.0971
40.0000 1.0000 167.5391
40.0000 1.5000 212.8631
40.0000 2.0000 253.8053
40.0000 2.5000 288.9560
40.0000 3.0000 318.1557
45.0000 0.0000 0.0000
45.0000 0.5000 136.3547
45.0000 1.0000 186.9772
45.0000 1.5000 233.1032
45.0000 2.0000 272.5868
45.0000 2.5000 305.0386
45.0000 3.0000 323.1407
50.0000 0.0000 82.7996
50.0000 0.5000 149.6718
50.0000 1.0000 201.7610
50.0000 1.5000 247.0044
50.0000 2.0000 284.3630
50.0000 2.5000 305.0963
50.0000 3.0000 321.1494
55.0000 0.0000 89.4646
55.0000 0.5000 159.5208
55.0000 1.0000 211.5861
55.0000 1.5000 255.5602
55.0000 2.0000 281.6714
55.0000 2.5000 301.0179
55.0000 3.0000 289.6638
60.0000 0.0000 95.2776
60.0000 0.5000 167.4504
60.0000 1.0000 218.4348
60.0000 1.5000 260.0941
60.0000 2.0000 279.1498
60.0000 2.5000 282.4188
60.0000 3.0000 278.0051
